,,,,,,,,,,,,,,,
Остатки на дату,,,,,,,,,,,,,,,
29.03.2026,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Наша компания: Наша компания,,,,,,,,,,,,,,,
Остатки: на вечер,,,,,,,,,,,,,,,
Детализация: Номенклатура,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Построен: 31.03.2026,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Кол-во,Ед. изм.,,,,,,,,,,,,,
Плитка  КЛУБНИЧНЫЙ СОРБЕТ Б.ш. / 50 гр ,2.0,шт,,,,,,,,,,,,,
Плитка ГОНДУРАС М. ш. / 50 гр ,4.0,шт,,,,,,,,,,,,,
Плитка ДАРК МИЛК М.ш. / 50 гр ,9.0,шт,,,,,,,,,,,,,
Плитка ПЕРУ Мараньон М.ш. / 50 гр ,3.0,шт,,,,,,,,,,,,,
Плитка РАФАЭЛЬ  Б.ш. / 50 гр ,3.0,шт,,,,,,,,,,,,,
Плитка СЛАДКАЯ ТЫКОВКА / 50 гр ,3.0,шт,,,,,,,,,,,,,
Плитка ТАИЛАНД Chanthaburi / 50 гр ,5.0,шт,,,,,,,,,,,,,
Плитка ТАЙНА ВОНКИ / 50 гр ,2.0,шт,,,,,,,,,,,,,
Плитка Шмель Б.ш. / 50 гр ,1.0,шт,,,,,,,,,,,,,
Темный шоколад 70% ДОМИНИКАНА ,6.0,шт,,,,,,,,,,,,,
Темный шоколад ВЬЕТНАМ OCA 70% ,5.0,шт,,,,,,,,,,,,,
Темный шоколад Индонезия Ransiki 70 % ,6.0,шт,,,,,,,,,,,,,
Темный шоколад Индонезия West Bali 70% ,9.0,шт,,,,,,,,,,,,,
Темный шоколад Колумбия ANEI 70 % ,6.0,шт,,,,,,,,,,,,,
Темный шоколад ЛИМОННЫЙ БАЗИЛИК ,1.0,шт,,,,,,,,,,,,,
Темный шоколад МАНГО В КУБЕ ,19.0,шт,,,,,,,,,,,,,
Темный шоколад Мексика Tabasco Lavado 70% ,6.0,шт,,,,,,,,,,,,,
Темный шоколад НА КОКОСЕ Semuliki / 70% какао ,3.0,шт,,,,,,,,,,,,,
Темный шоколад НА ЭРИТРИТЕ 70% ,7.0,шт,,,,,,,,,,,,,
Темный шоколад НИКАРАГУА 70% ,1.0,шт,,,,,,,,,,,,,
Темный шоколад ОРЕХОВЫЙ ВАЙБ ,16.0,шт,,,,,,,,,,,,,
Темный шоколад ПЕРУАНСКАЯ ВИШНЯ ,4.0,шт,,,,,,,,,,,,,
Темный шоколад ПРЯНАЯ КЛУБНИКА ,9.0,шт,,,,,,,,,,,,,
Темный шоколад ТАИЛАНД 68% ,2.0,шт,,,,,,,,,,,,,
Темный шоколад УГАНДА 70% ,2.0,шт,,,,,,,,,,,,,
Темный шоколад УГАНДА 88% ,2.0,шт,,,,,,,,,,,,,
Темный шоколад УРАЛЬСКАЯ БРУСНИКА ,7.0,шт,,,,,,,,,,,,,
Темный шоколад ЧАЙ С МАЛИНОЙ ,1.0,шт,,,,,,,,,,,,,
"Шоколад  НА КУСЬ / Tasty, 5г ",718.0,шт,,,,,,,,,,,,,
Шоколад 100% Доминикана ,4.0,шт,,,,,,,,,,,,,
Шоколад Гондурас Asopropib 100% ,9.0,шт,,,,,,,,,,,,,
Шоколад Индонезия Ransiki 100 % ,4.0,шт,,,,,,,,,,,,,
Шоколад Индонезия West Bali 100 % ,4.0,шт,,,,,,,,,,,,,
Шоколад Колумбия ANEI 100 % ,4.0,шт,,,,,,,,,,,,,
Шоколад Мексика 100% ,3.0,шт,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
