Наименование,Общее кол-во,Луговая,Тургенева,Самокиша
Темный шоколад Колумбия ANEI 70 %,4.0,1.0,3.0,
Темный шоколад ЛИМОННЫЙ БАЗИЛИК,12.0,,12.0,
Темный шоколад МАНГО В КУБЕ,28.0,3.0,17.0,8.0
Темный шоколад Мексика Tabasco Lavado 70%,6.0,,6.0,
Темный шоколад НА КОКОСЕ Semuliki / 70% какао,12.0,,12.0,
Темный шоколад НА ЭРИТРИТЕ 70%,3.0,,,3.0
Темный шоколад НИКАРАГУА 70%,1.0,,1.0,
Темный шоколад ОРЕХОВЫЙ ВАЙБ,12.0,2.0,6.0,4.0
Темный шоколад ПЕРУАНСКАЯ ВИШНЯ,17.0,,17.0,
Темный шоколад ПРЯНАЯ КЛУБНИКА,19.0,1.0,18.0,
Темный шоколад ТАИЛАНД 68%,1.0,,1.0,
Темный шоколад УГАНДА 70%,2.0,,2.0,
Темный шоколад УГАНДА 88%,2.0,,2.0,
Темный шоколад УРАЛЬСКАЯ БРУСНИКА,23.0,,23.0,
Темный шоколад ЧАЙ С МАЛИНОЙ,19.0,,19.0,
"Шоколад  НА КУСЬ / Tasty, 5г",1642.0,283.0,1088.0,271.0
Шоколад 100% Доминикана,8.0,,7.0,1.0
Шоколад Гондурас Asopropib 100%,8.0,,7.0,1.0
Шоколад Индонезия Ransiki 100 %,8.0,,8.0,
Шоколад Индонезия West Bali 100 %,8.0,,7.0,1.0
Шоколад Колумбия ANEI 100 %,8.0,,7.0,1.0
Шоколад Мексика 100%,9.0,,9.0,
Шоколад Никарагуа 100%,6.0,,6.0,
МОЙ ЧАЙ,,,,
"Чай ""Алтай"" травяной сбор 100 гр",2.0,2.0,,
"Чай ""Закатный ветер"" 80 гр",9.0,,9.0,
Чай «Бабка» с корнеплодами 80 гр,7.0,2.0,5.0,
"Чай «Буян», 80 гр",9.0,3.0,3.0,3.0
Чай «ГорМа» 80 гр,9.0,2.0,5.0,2.0
Чай «Дед» 80 гр,7.0,2.0,4.0,1.0
Чай «Деревенский» 50 гр,9.0,3.0,3.0,3.0
Чай «Дивный» 80 гр,7.0,2.0,4.0,1.0
Чай «Женский» 80 гр,3.0,1.0,1.0,1.0
Чай «Зов Духа» 80 гр,8.0,1.0,5.0,2.0
Чай «Каркаде» 80 гр,6.0,2.0,2.0,2.0
Чай «Лесная тишь» 80 гр,9.0,2.0,5.0,2.0
Чай «Леший» с мухомором 80 гр,8.0,1.0,5.0,2.0
Чай «Обитель» 50 гр,8.0,3.0,2.0,3.0
Чай «Посконный» конопля + хмель 80 гр,6.0,2.0,4.0,
Чай «Радость» 80 гр,8.0,2.0,4.0,2.0
Чай «Согревающий» 50 гр,9.0,3.0,3.0,3.0
Чай «Таёжный» 50 гр,6.0,2.0,2.0,2.0
Чай «Теплые Созвездия» 80 гр,9.0,2.0,5.0,2.0
Чай «Традиционный» 80 гр,9.0,2.0,5.0,2.0
Чай «Хвойная диковина» 80 гр,3.0,1.0,1.0,1.0
Чай «Шуликун» 80 гр,8.0,2.0,4.0,2.0
Чай рассыпной «Доброе тепло» 25 гр,14.0,3.0,9.0,2.0
Чай рассыпной «Лесные тропы» 25 гр,8.0,3.0,3.0,2.0
Чай рассыпной «Радость Жизни» 25 гр,9.0,3.0,3.0,3.0
Чай рассыпной «Тихо Внутри» 25 гр,9.0,3.0,3.0,3.0
Чай рассыпной «Шёпот трав» 25 гр,8.0,2.0,3.0,3.0
"Чай с пряностями ""Чай-Глинтвейн"" 50 гр",11.0,1.0,9.0,1.0
Чай с пряностями Тарусское чаепите «Петушок» 80 гр,8.0,2.0,5.0,1.0
"Чай с травами ""Тонизирующий"" 50 гр",5.0,1.0,3.0,1.0
Чай с травами и ягодами «Сорока Ворона» 80 гр,9.0,2.0,5.0,2.0
Чай с чабрецом «Крепкая дружба» 80 гр,8.0,2.0,5.0,1.0
Чай травяной «Аууу» 80 гр,9.0,2.0,5.0,2.0
Чай травяной «Мох» 80 гр,4.0,1.0,2.0,1.0
Чай-глинтвейн «Романтика» 80 гр,9.0,2.0,5.0,2.0
Чёрный чай с чабрецом 50 гр,9.0,2.0,5.0,2.0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
