22.04.2024","Общее количесто 22.04
(для сайта)","Тургенева 
12.05.2024","Самокиша 
12.05.2024","Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,Общее количесто,Тургенева ,Самокиша ,Луговая,Общее количесто,Тургенева ,Самокиша ,Луговая,Общее количесто
Аксессуары для кофе / Сопутка |  TASTY
Дрип Эфиопия Тесфай ,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,5,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,,8,4,0,12,8,4,0,12,6,4,2,12,5,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0
Неактуально
Дрип Бразилия Отавио Рейс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,6,0,0,0,0
Дрип Гватемала Ла Кабана,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,10,8,2,10,5,2,3,10,4,2,3,10,4,2,6,4,1,2,7,3,1,2,6,3,1,2,6,2,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0
Дрип Индонезия Ява Мустофа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,3,1,0,1,2,0,0,0,0
Дрип Индонезия Ява Фринса Пангаленган,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,6,0,0,0,0
Дрип Колумбия Вентаррон,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,1,5,0,0,0,0
Дрип Руанда Мараба,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,1,5,0,0,0,0
Дрип Руанда Анбалаган,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,2,1,0,0,1,0,0,0,0
Дрип Руанда Килимби Анаэробный,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0
Дрип Руанда уе Анаэробный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,3,0,1,0,1,0,0,0,0
Дрип Эфиопия Берату Шакиту,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Коста-Рика Ла Фила,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Коста-Рика Корасон де Хесус,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Эфиопия Мукера Тако,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Суматра Пилихан ,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,,8,2,10,6,2,2,10,6,2,2,10,5,2,7,5,2,2,9,5,2,2,9,3,2,4,9,2,1,4,7,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Колумбия Декаф,Tasty coffee,,,,,,,,,,,,,,,10,0,5,4,5,3,10,7,10,7,10,7,8,7,9,7,5,7,5,7,1,7,1,7,3,4,2,3,1,3,1,3,7,5,6,5,11,6,5,11,6,5,11,6,5,11,6,5,11,6,4,10,4,4,2,10,4,4,2,10,4,4,8,4,4,2,10,4,4,2,10,3,3,1,7,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
